"id","scenario_id","user_id","influence","response_date"
"217","1","642431b77eb77","Authority","2023-03-29 12:40:59"
"218","2","642431b77eb77","Commitment and Consistency","2023-03-29 12:41:33"
"219","3","642431b77eb77","Scarcity","2023-03-29 12:41:44"
"220","4","642431b77eb77","Scarcity","2023-03-29 12:41:59"
"221","5","642431b77eb77","Scarcity","2023-03-29 12:42:10"
"222","6","642431b77eb77","Scarcity","2023-03-29 12:42:21"
"223","1","6424326ab54a0","Authority","2023-03-29 12:43:34"
"224","2","6424326ab54a0","Reciprocity","2023-03-29 12:44:11"
"225","3","6424326ab54a0","Liking","2023-03-29 12:44:30"
"226","1","6424324464c22","Liking","2023-03-29 12:44:50"
"227","4","6424326ab54a0","Scarcity","2023-03-29 12:44:56"
"228","5","6424326ab54a0","Scarcity","2023-03-29 12:45:11"
"229","6","6424326ab54a0","Social Proof","2023-03-29 12:45:31"
"230","1","642433072dcd1","Commitment and Consistency","2023-03-29 12:46:32"
"231","2","6424324464c22","Authority","2023-03-29 12:47:01"
"232","2","642433072dcd1","Authority","2023-03-29 12:47:55"
"233","3","6424324464c22","Scarcity","2023-03-29 12:48:20"
"234","3","642433072dcd1","Scarcity","2023-03-29 12:48:28"
"235","4","642433072dcd1","Liking","2023-03-29 12:48:40"
"236","5","642433072dcd1","Scarcity","2023-03-29 12:48:43"
"237","6","642433072dcd1","Authority","2023-03-29 12:48:56"
"238","4","6424324464c22","Commitment and Consistency","2023-03-29 12:49:10"
"239","1","642432a027d7c","Authority","2023-03-29 12:49:11"
"240","5","6424324464c22","Authority","2023-03-29 12:49:13"
"241","6","6424324464c22","Reciprocity","2023-03-29 12:49:16"
"242","1","642433a7b3c15","Authority","2023-03-29 12:49:32"
"243","2","642433a7b3c15","Reciprocity","2023-03-29 12:50:25"
"244","1","642433b7bbff1","Authority","2023-03-29 12:50:31"
"245","2","642432a027d7c","Liking","2023-03-29 12:50:37"
"246","3","642433a7b3c15","Liking","2023-03-29 12:50:56"
"247","4","642433a7b3c15","Reciprocity","2023-03-29 12:51:11"
"248","3","642432a027d7c","Liking","2023-03-29 12:51:43"
"249","5","642433a7b3c15","Scarcity","2023-03-29 12:51:44"
"250","4","642432a027d7c","Scarcity","2023-03-29 12:52:20"
"251","2","642433b7bbff1","Commitment and Consistency","2023-03-29 12:52:23"
